what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.aptana.debug.ui,3.0.3.1313193469,"com.aptana.debug.ui",1335802258781
stopped,bundle,com.aptana.editor.findbar,3.0.0.1326349361,"com.aptana.editor.findbar",1335802258781
stopped,bundle,com.aptana.webserver.ui,3.0.0.1322781931,"com.aptana.webserver.ui",1335802258781
stopped,bundle,com.aptana.ui,3.0.3.1325786963,"com.aptana.ui",1335802258781
stopped,bundle,com.aptana.buildpath.core,3.0.0.1323995066,"com.aptana.buildpath.core",1335802258781
stopped,bundle,com.aptana.commandline.launcher,3.0.3.1313797510,"com.aptana.commandline.launcher",1335802258781
stopped,bundle,com.aptana.configurations,3.0.3.1314659572,"com.aptana.configurations",1335802258781
stopped,bundle,com.aptana.js.debug.core.v8,3.0.0.1323995946,"com.aptana.js.debug.core.v8",1335802258781
stopped,bundle,com.aptana.js.debug.core,3.0.3.1323811743,"com.aptana.js.debug.core",1335802258781
stopped,bundle,com.aptana.debug.core,3.0.3.1321680133,"com.aptana.debug.core",1335802258781
stopped,bundle,com.aptana.filesystem.secureftp,3.0.0.1320259132,"com.aptana.filesystem.secureftp",1335802258781
stopped,bundle,com.aptana.filesystem.ftp,3.0.0.1320450691,"com.aptana.filesystem.ftp",1335802258781
stopped,bundle,com.aptana.filesystem.s3,3.0.0.1312318673,"com.aptana.filesystem.s3",1335802258781
stopped,bundle,com.aptana.syncing.core,3.0.0.1321920947,"com.aptana.syncing.core",1335802258781
stopped,bundle,com.aptana.webserver.core,3.0.0.1326896828,"com.aptana.webserver.core",1335802258781
stopped,bundle,com.aptana.core.io,3.0.3.1321920947,"com.aptana.core.io",1335802258781
stopped,bundle,com.aptana.editor.epl,3.0.0.1325713640,"com.aptana.editor.epl",1335802258781
stopped,bundle,com.aptana.git.core,3.0.0.1327087459,"com.aptana.git.core",1335802258781
stopped,bundle,com.aptana.ruby.core,3.0.2.1319731509,"com.aptana.ruby.core",1335802258781
stopped,bundle,com.aptana.index.core,3.0.0.1326829673,"com.aptana.index.core",1335802258781
stopped,bundle,com.aptana.parsing,3.0.0.1319578629,"com.aptana.parsing",1335802258781
stopped,bundle,com.aptana.plist,3.0.0.1319725619,"com.aptana.plist",1335802258781
stopped,bundle,com.aptana.ruby.rake,3.0.0.1327600259,"com.aptana.ruby.rake",1335802258781
stopped,bundle,com.aptana.ruby.debug.core,3.0.2.1327600259,"com.aptana.ruby.debug.core",1335802258781
stopped,bundle,org.radrails.rails.core,3.0.2.1312317714,"org.radrails.rails.core",1335802258781
stopped,bundle,com.aptana.ruby.launching,3.0.2.1327600259,"com.aptana.ruby.launching",1335802258781
stopped,bundle,com.aptana.ui.epl,3.0.0.1322514554,"com.aptana.ui.epl",1335802258781
stopped,bundle,com.aptana.ui.io.epl,3.0.0.1313456913,"com.aptana.ui.io.epl",1335802258781
stopped,bundle,com.aptana.usage,3.0.0.1329151902,"com.aptana.usage",1335802258913
stopped,bundle,com.aptana.core,3.0.4.1325689477,"com.aptana.core",1335802258913
